NPU_ID,npu,neighborhood
1,L,Vine City
2,I,Harland Terrace
3,V,Mechanicsville
4,J,Center Hill
5,Z,Lakewood
6,F,Virginia Highland
7,F,Morningside/Lenox Park
8,J,Grove Park
9,X,Hammond Park
10,K,Mozley Park
11,I,Collier Heights
12,M,Sweet Auburn
13,T,West End
14,P,Princeton Lakes
15,O,Kirkwood
16,E,Midtown
17,O,Edgewood
18,T,Ashview Heights
19,Y,Lakewood Heights
20,R,Southwest
21,G,Carver Hills
22,W,Grant Park
23,Y,Joyland
24,P,Heritage Valley
25,N,Poncey-Highland
26,L,English Avenue
27,H,Adamsville
28,T,Atlanta University Center
29,B,Buckhead Village
30,X,Sylvan Hills
31,Z,Glenrose Heights
32,J,Dixie Hills
33,M,Downtown
34,P,Ashley Courts
35,W,Custer/McDonough/Guice
36,Y,High Point
37,Z,South River Gardens
38,I,Magnum Manor
39,E,Atlantic Station
40,O,East Lake
41,E,Loring Heights
42,B,North Buckhead
43,Y,The Villages at Carver
44,N,Inman Park
45,Z,Leila Valley
46,G,Carey Park
47,X,Perkerson
48,Z,Thomasville Heights
49,P,Fairburn
50,Z,Norwood Manor
51,D,Berkeley Park
52,M,Castleberry Hill
53,P,Arlington Estates
54,V,Pittsburgh
55,X,Capitol View Manor
56,F,Lindridge/Martin Manor
57,N,Reynoldstown
58,K,Washington Park
59,S,Oakland City
60,B,Peachtree Heights West
61,V,Summerhill
62,D,Underwood Hills
63,H,Fairburn Mays
64,G,Scotts Crossing
65,B,Lenox
66,H,Wisteria Gardens
67,A,Mt. Paran/Northside
68,K,Hunter Hills
69,D,Hills Park
70,T,Harris Chiles
71,V,Peoplestown
72,K,Bankhead
73,P,Rue Royal
74,M,Old Fourth Ward
75,D,Riverside
76,Z,Browns Mill Park
77,A,Chastain Park
78,T,Westview
79,W,East Atlanta
80,V,Adair Park
81,V,Capitol Gateway
82,W,Ormewood Park
83,R,Greenbriar
84,Z,Polar Rock
85,S,Venetian Hills
86,F,Piedmont Heights
87,Z,Swallow Circle/Baywood
88,Z,Rosedale Heights
89,P,Butner/Tell
90,N,Candler Park
91,D,Blandtown
92,S,Cascade Avenue/Road
93,R,Campbellton Road
94,E,Home Park
95,E,Marietta Street Artery
96,C,Ridgewood Heights
97,B,South Tuxedo Park
98,J,West Lake
99,P,Fairway Acres
100,I,Peyton Forest
101,H,Fairburn Heights
102,Z,Blair Villa/Poole Creek
103,B,Ridgedale Park
104,Y,Chosewood Park
105,B,Lindbergh/Morosgo
106,P,Greenbriar Village
107,D,Whittier Mill Village
108,X,Capitol View
109,R,Adams Park
110,C,Cross Creek
111,W,Benteen Park
112,B,Pine Hills
113,I,Westwood Terrace
114,Z,Orchard Knob
115,A,Tuxedo Park
116,Y,South Atlanta
117,A,Paces
118,G,Lincoln Homes
119,G,Brookview Heights
120,D,Bolton
121,I,West Manor
122,H,Carroll Heights
123,C,Castlewood
124,G,Almond Park
125,B,East Chastain Park
126,I,Cascade Heights
127,H,Bankhead/Bolton
128,B,Peachtree Heights East
129,B,Peachtree Park
130,B,Buckhead Forest
131,C,Peachtree Battle Alliance
132,E,Ansley Park
133,E,Ardmore
134,B,Brookhaven
135,P,Ben Hill Acres
136,N,Cabbagetown
137,O,Beecher Hills
138,G,English Park
139,O,The Villages at East Lake
140,H,Mays
141,B,Peachtree Hills
142,K,Knight Park/Howell Station
143,P,Meadowbrook Forest
144,P,Cascade Green
145,B,Garden Hills
146,A,West Paces Ferry/Northside
147,E,Brookwood Hills
148,I,Florida Heights
149,P,Ben Hill
150,P,Mellwood
151,Z,Rebel Valley Forest
152,G,Monroe Heights
153,P,Kings Forest
154,E,Brookwood
155,S,Bush Mountain
156,Q,Midwest Cascade
157,J,Penelope Neighbors
158,Y,Amal Heights
