STREET_ID,street
1,Mayson Turner Road Northwest
2,Martin Luther King Junior Drive Southwest
3,McDaniel Street Southwest
4,Baker Road Northwest
5,Harper Road Southeast
6,Rosedale Road Northeast
7,Cheshire Bridge Road
8,Madrona Street Northwest
9,Mount Zion Road Southwest
10,Altoona Place Southwest
11,West Peek Road Northwest
12,Edgewood Avenue Northeast
13,Oglethorpe Avenue Southwest
14,Carmia Way
15,Hosea L Williams Drive Southeast
16,Myrtle Street Northeast
17,Flora Avenue Northeast
18,Martin Luther King Jr Drive Southwest
19,Stillman Street Southeast
20,Parc Lane Southwest
21,Arno Drive Northwest
22,Loomis Avenue Southeast
23,Thornton Place Southwest
24,Glenview Circle Southwest
25,Ponce de Leon Avenue Northeast
26,Sunset Avenue Northwest
27,Mitchell Street Southwest
28,East Shadowlawn Avenue Northeast
29,Casplan Street Southwest
30,Oak Drive Southwest
31,Wadley Street Northwest
32,Howell Place Southwest
33,Marietta Street Northwest
34,Thornton Street Southwest
35,Kimberly Way Southwest
36,Woodland Avenue Southeast
37,Donnelly Avenue Southwest
38,Bellview Avenue Northwest
39,Bowen Circle Southwest
40,Hutchens Road Southeast
41,College Avenue Northeast
42,Walnut Street Southwest
43,Monroe Drive Northeast
44,Valleydale Drive Southwest
45,Atlantic Drive Northwest
46,West Peachtree Street Northwest
47,Candler Road Southeast
48,St Charles Avenue Northeast
49,Peachtree Street Southwest
50,Northside Circle Northwest
51,Peachtree Road
52,Moury Avenue Southwest
53,Ellis Street Northeast
54,Moreland Avenue Northeast
55,Park Avenue Southeast
56,Jonesboro Road Southeast
57,Upshaw Street Southwest
58,Sanderson Street Northeast
59,Etheridge Court Apts
60,Pryor Street
61,Springdale Circle Southwest
62,Holderness Street Southwest
63,New Town Circle Southeast
64,Sylvan Road
65,Niskey Lake Road Southwest
66,Constitution Road Southeast
67,West End Place Southwest
68,New Street Northeast
69,Lakewood Avenue Southeast
70,Northside Drive Northwest
71,Glengary Drive Northeast
72,Peters Street Southwest
73,John Portman Boulevard Northwest
74,Campbellton Road
75,Pryor Street Southwest
76,Smith Street Southwest
77,Howell Mill Road Northwest
78,Erin Avenue Southwest
79,Fox Street Northwest
80,Lenox Road Northeast
81,Flat Shoals Avenue Southeast
82,Cordova Street Southwest
83,Glenn Street Southeast
84,Etheridge Drive Northwest
85,Sells Avenue Southwest
86,Beckwith Court Southwest
87,Chattahoochee Avenue Northwest
88,Joseph E. Boone Boulevard Northwest
89,Leslie Street Southeast
90,Defoors Ferry Road Northwest
91,Arlington Avenue Southwest
92,Mays Court Southwest
93,Main Street Northwest
94,Atlanta BeltLine Westside Interim Hiking Trail
95,Roxboro Road
96,Hills Place Northwest
97,Mills Street Northwest
98,Rockport Place Southwest
99,Harris Trail Northwest
100,Browns Mill Road
101,Oleander Street Northwest
102,14th Street Northeast
103,Waterford Road Northwest
104,Lanier Drive Southwest
105,Market Street Northwest
106,Peachtree Road Northeast
107,Marietta Boulevard Northwest
108,Lucile Avenue Southwest
109,Peyton Road Southwest
110,Burbank Drive Northwest
111,Washington Street Southwest
112,Martin Street Southeast
113,Hank Aaron Drive Southwest
114,Commerce Drive Northwest
115,Perkerson Road Southwest
116,Fairburn Road Southwest
117,Holly Road Northwest
118,Rex Avenue Southwest
119,Boulevard Southeast
120,Thurmond Street Northwest
121,Edwards Drive Northwest
122,Southtowne PATH Trail
123,Highland Avenue Northeast
124,Bonnie Lane Southeast
125,Caroline Street Northeast
126,Pineland Road Northwest
127,Westmont Road Southwest
128,Peeples Street Southwest
129,Oakland Lane Southwest
130,Clifton Street Southeast
131,Willard Avenue Southwest
132,Ralph David Abernathy Boulevard
133,Crew Street Southwest
134,Princeton Lakes Parkway
135,Maple Drive Northeast
136,Moreland Drive Southeast
137,May Avenue Southeast
138,Oliver Street Northwest
139,Whitehall Street Southwest
140,Walker Street Southwest
141,Maynard Terrace Southeast
142,Andrews Drive Northwest
143,Beverly Place Northwest
144,Gillette Avenue Southwest
145,Faulkner Road Northeast
146,Peachtree Street Northeast
147,Memorial Drive Southeast
148,Berne Street Southeast
149,Headland Drive Southwest
150,I 85
151,Oakland Terrace Southwest
152,Polar Rock Road Southwest
153,Lincoln Court Northwest
154,Metropolitan Parkway Southwest
155,Wylie Street Southeast
156,Argus Circle Northwest
157,Detroit Avenue Northwest
158,Berkshire Road Northeast
159,Oak Street Southwest
160,Grand Avenue Southwest
161,Buckeye Street Southwest
162,North Avenue Northwest
163,Mead Street Southeast
164,Campbellton Road Southwest
165,Interim BeltLine Northeast Trail
166,Mercer Street Southeast
167,Carey Drive Southeast
168,Formwalt Street Southwest
169,Cascade Road
170,Baywood Drive Southeast
171,Landrum Drive Southwest
172,Luckie Street Northwest
173,12th Street Northeast
174,Fairlane Drive Southeast
175,Tell Road Southwest
176,Custer Avenue Southeast
177,Linda Way Southwest
178,Amsterdam Avenue Northeast
179,Walton Street Northwest
180,Santa Barbara Drive Northwest
181,West Wieuca Road Northwest
182,Polar Rock Terrace Southwest
183,Parsons Street Southwest
184,Eastridge Road Southwest
185,Oakdale Road Northeast
186,Stafford Street Northwest
187,Mims Street Southwest
188,Menlo Drive Northwest
189,Mayflower Avenue Southwest
190,Broad Street Southwest
191,Charlotte Place Northwest
192,Myrtle Drive Southwest
193,Piedmont Avenue Northeast
194,Gilmer Street Southeast
195,Sparks Street Southwest
196,Argonne Avenue Northeast
197,Seaboard Industrial Boulevard Northwest
198,10th Street Northwest
199,Jones Avenue Northwest
200,Defoor Avenue Northwest
201,Cunningham Place Southwest
202,Peachtree Center Avenue Northeast
203,Macon Drive Southeast
204,Penn Avenue Northeast
