STREET_ID,DATE_ID,date,year,quarter,month,ZONE_ID,zone,CRIME_ID,crime,type,NPU_ID,npu,number
1,505,2010-05-20,2010,2,May,54,1,3,BURGLARY-RESIDENCE,house_number,58,K,101401604
1,534,2010-06-18,2010,2,June,1,1,1,LARCENY-NON VEHICLE,house_number,1,L,101690339
1,1269,2012-06-22,2012,2,June,63,1,1,LARCENY-NON VEHICLE,house_number,72,K,121740757
2,80,2009-03-21,2009,1,March,40,5,7,LARCENY-FROM VEHICLE,amenity,33,M,90801573
2,177,2009-06-26,2009,2,June,68,1,6,BURGLARY-NONRES,house_number,27,H,91770808
2,201,2009-07-20,2009,3,July,2,4,3,BURGLARY-RESIDENCE,house_number,2,I,92011734
2,598,2010-08-21,2010,3,August,68,1,1,LARCENY-NON VEHICLE,house_number,27,H,102330695
2,880,2011-05-30,2011,2,May,40,5,7,LARCENY-FROM VEHICLE,amenity,33,M,111500329
2,1110,2012-01-15,2012,1,January,30,1,3,BURGLARY-RESIDENCE,house_number,148,I,120152087
2,1810,2013-12-15,2013,4,December,2,4,1,LARCENY-NON VEHICLE,house_number,2,I,133492079
2,1845,2014-01-19,2014,1,January,2,4,11,ROBBERY-PEDESTRIAN,house_number,2,I,140192099
2,1860,2014-02-03,2014,1,February,25,4,1,LARCENY-NON VEHICLE,house_number,27,H,140341776
2,1996,2014-06-19,2014,2,June,30,1,15,LARCENY-NON VEHICLE,amenity,148,I,141701231
2,2361,2015-06-19,2015,2,June,68,1,2,AUTO THEFT,house_number,27,H,151701739
2,2531,2015-12-06,2015,4,December,2,4,1,LARCENY-NON VEHICLE,house_number,2,I,153401540
2,2582,2016-01-26,2016,1,January,2,4,3,BURGLARY-RESIDENCE,house_number,2,I,160262136
3,881,2011-05-31,2011,2,May,50,3,3,BURGLARY-RESIDENCE,house_number,54,V,111511374
3,1778,2013-11-13,2013,4,November,3,3,2,AUTO THEFT,house_number,3,V,133171479
3,1855,2014-01-29,2014,1,January,3,3,4,LARCENY-FROM VEHICLE,house_number,3,V,140290665
3,2708,2016-05-31,2016,2,May,50,3,3,BURGLARY-RESIDENCE,house_number,54,V,161521228
4,1812,2013-12-17,2013,4,December,8,1,11,ROBBERY-PEDESTRIAN,house_number,8,J,133512824
4,1841,2014-01-15,2014,1,January,4,1,3,BURGLARY-RESIDENCE,house_number,4,J,140151216
4,2529,2015-12-04,2015,4,December,4,1,20,AUTO THEFT,amenity,4,J,153382082
5,2630,2016-03-14,2016,1,March,5,3,2,AUTO THEFT,house_number,87,Z,160740647
5,2890,2016-11-29,2016,4,November,5,3,1,LARCENY-NON VEHICLE,house_number,5,Z,163341066
6,942,2011-07-31,2011,3,July,6,6,4,LARCENY-FROM VEHICLE,house_number,6,F,112120712
7,276,2009-10-03,2009,4,October,66,2,7,LARCENY-FROM VEHICLE,amenity,7,F,92761485
7,737,2011-01-07,2011,1,January,66,2,22,LARCENY-FROM VEHICLE,shop,56,F,110070937
7,2354,2015-06-12,2015,2,June,7,2,5,LARCENY-FROM VEHICLE,building,7,F,151633091
7,2506,2015-11-11,2015,4,November,7,2,22,LARCENY-FROM VEHICLE,shop,7,F,153152649
8,829,2011-04-09,2011,2,April,8,1,3,BURGLARY-RESIDENCE,house_number,8,J,110991448
8,1961,2014-05-15,2014,2,May,8,1,37,RAPE,house_number,8,J,141352246
9,1168,2012-03-13,2012,1,March,29,3,3,BURGLARY-RESIDENCE,house_number,31,Z,120730579
9,1181,2012-03-26,2012,1,March,9,3,1,LARCENY-NON VEHICLE,house_number,9,X,120861065
9,2328,2015-05-17,2015,2,May,29,3,3,BURGLARY-RESIDENCE,house_number,31,Z,151370658
10,2155,2014-11-25,2014,4,November,10,1,3,BURGLARY-RESIDENCE,house_number,10,K,143291846
11,1535,2013-03-15,2013,1,March,11,1,3,BURGLARY-RESIDENCE,house_number,11,I,130741306
12,1042,2011-11-08,2011,4,November,23,6,7,LARCENY-FROM VEHICLE,amenity,44,N,113122330
12,1049,2011-11-15,2011,4,November,12,6,6,BURGLARY-NONRES,house_number,12,M,113190424
12,1565,2013-04-14,2013,2,April,12,6,15,LARCENY-NON VEHICLE,amenity,12,M,131040238
12,1862,2014-02-05,2014,1,February,12,6,25,ROBBERY-PEDESTRIAN,amenity,12,M,140362805
12,2766,2016-07-28,2016,3,July,12,6,15,LARCENY-NON VEHICLE,amenity,12,M,162100142
12,2899,2016-12-08,2016,4,December,12,6,25,ROBBERY-PEDESTRIAN,amenity,12,M,163430108
13,418,2010-02-22,2010,1,February,13,4,2,AUTO THEFT,house_number,13,T,100530473
13,512,2010-05-27,2010,2,May,33,4,18,LARCENY-NON VEHICLE,shop,13,T,101471497
13,1119,2012-01-24,2012,1,January,13,4,3,BURGLARY-RESIDENCE,house_number,13,T,120242543
13,1232,2012-05-16,2012,2,May,33,4,18,LARCENY-NON VEHICLE,shop,13,T,121372540
13,1505,2013-02-13,2013,1,February,13,4,1,LARCENY-NON VEHICLE,house_number,13,T,130441619
13,2910,2016-12-19,2016,4,December,33,4,3,BURGLARY-RESIDENCE,house_number,13,T,163541246
14,305,2009-11-01,2009,4,November,14,4,16,AUTO THEFT,shop,14,P,93050182
14,1946,2014-04-30,2014,2,April,14,4,7,LARCENY-FROM VEHICLE,amenity,14,P,141200013
14,2671,2016-04-24,2016,2,April,14,4,15,LARCENY-NON VEHICLE,amenity,14,P,161151995
15,1271,2012-06-24,2012,2,June,15,6,8,ROBBERY-PEDESTRIAN,shop,15,O,121761610
15,2103,2014-10-04,2014,4,October,15,6,7,LARCENY-FROM VEHICLE,amenity,15,O,142771538
16,1547,2013-03-27,2013,1,March,16,5,4,LARCENY-FROM VEHICLE,house_number,16,E,130860861
17,42,2009-02-11,2009,1,February,17,6,3,BURGLARY-RESIDENCE,house_number,17,O,90421754
18,769,2011-02-08,2011,1,February,10,1,7,LARCENY-FROM VEHICLE,amenity,18,T,110392399
18,1127,2012-02-01,2012,1,February,10,1,4,LARCENY-FROM VEHICLE,house_number,10,K,120322142
18,1490,2013-01-29,2013,1,January,1,1,1,LARCENY-NON VEHICLE,house_number,1,L,130291331
18,1912,2014-03-27,2014,1,March,1,1,1,LARCENY-NON VEHICLE,house_number,1,L,140862642
18,1926,2014-04-10,2014,2,April,1,1,1,LARCENY-NON VEHICLE,house_number,1,L,141002459
18,1964,2014-05-18,2014,2,May,1,1,1,LARCENY-NON VEHICLE,house_number,1,L,141381245
19,572,2010-07-26,2010,3,July,18,3,1,LARCENY-NON VEHICLE,house_number,19,Y,102071805
20,1018,2011-10-15,2011,4,October,19,4,2,AUTO THEFT,house_number,20,R,112882255
21,1782,2013-11-17,2013,4,November,20,1,1,LARCENY-NON VEHICLE,house_number,21,G,133210253
22,1915,2014-03-30,2014,1,March,21,6,2,AUTO THEFT,house_number,22,W,140890777
23,645,2010-10-07,2010,4,October,18,3,3,BURGLARY-RESIDENCE,house_number,23,Y,102802202
24,1425,2012-11-25,2012,4,November,22,4,1,LARCENY-NON VEHICLE,house_number,24,P,123301160
25,311,2009-11-07,2009,4,November,74,6,15,LARCENY-NON VEHICLE,amenity,74,M,93111970
25,824,2011-04-04,2011,2,April,16,5,5,LARCENY-FROM VEHICLE,building,16,E,110942246
25,1104,2012-01-09,2012,1,January,74,6,4,LARCENY-FROM VEHICLE,house_number,74,M,120090959
25,1269,2012-06-22,2012,2,June,23,6,4,LARCENY-FROM VEHICLE,house_number,25,N,121742331
25,1913,2014-03-28,2014,1,March,56,5,18,LARCENY-NON VEHICLE,shop,16,E,140872223
25,2172,2014-12-12,2014,4,December,23,6,4,LARCENY-FROM VEHICLE,house_number,25,N,143462476
25,2500,2015-11-05,2015,4,November,74,6,18,LARCENY-NON VEHICLE,shop,74,M,153093455
25,2924,2017-01-02,2017,1,January,6,6,15,LARCENY-NON VEHICLE,amenity,6,F,170021275
26,1422,2012-11-22,2012,4,November,24,1,4,LARCENY-FROM VEHICLE,house_number,26,L,123270279
27,1493,2013-02-01,2013,1,February,26,1,4,LARCENY-FROM VEHICLE,house_number,28,T,130320876
28,2010,2014-07-03,2014,3,July,27,2,1,LARCENY-NON VEHICLE,house_number,29,B,141841171
29,50,2009-02-19,2009,1,February,28,3,2,AUTO THEFT,house_number,30,X,90500520
29,2339,2015-05-28,2015,2,May,28,3,2,AUTO THEFT,house_number,30,X,151480961
30,1168,2012-03-13,2012,1,March,29,3,3,BURGLARY-RESIDENCE,house_number,31,Z,120731495
31,337,2009-12-03,2009,4,December,30,1,3,BURGLARY-RESIDENCE,house_number,32,J,93371654
31,2388,2015-07-16,2015,3,July,30,1,9,ROBBERY-RESIDENCE,house_number,32,J,151970609
32,575,2010-07-29,2010,3,July,13,4,3,BURGLARY-RESIDENCE,house_number,13,T,102100554
33,119,2009-04-29,2009,2,April,49,5,36,LARCENY-NON VEHICLE,tourism,33,M,91191455
33,386,2010-01-21,2010,1,January,49,5,12,LARCENY-FROM VEHICLE,road,33,M,100212061
33,516,2010-05-31,2010,2,May,60,5,7,LARCENY-FROM VEHICLE,amenity,95,E,101510230
33,1214,2012-04-28,2012,2,April,31,5,7,LARCENY-FROM VEHICLE,amenity,33,M,121192708
33,1637,2013-06-25,2013,2,June,49,5,14,LARCENY-NON VEHICLE,building,33,M,131761501
33,2524,2015-11-29,2015,4,November,31,5,57,BURGLARY-NONRES,tourism,33,M,153330916
33,2885,2016-11-24,2016,4,November,60,5,1,LARCENY-NON VEHICLE,house_number,95,E,163291448
34,1996,2014-06-19,2014,2,June,18,3,3,BURGLARY-RESIDENCE,house_number,23,Y,141701491
35,2559,2016-01-03,2016,1,January,22,4,10,AGG ASSAULT,house_number,34,P,160031509
36,683,2010-11-14,2010,4,November,32,6,4,LARCENY-FROM VEHICLE,house_number,82,W,103180961
36,1063,2011-11-29,2011,4,November,32,6,3,BURGLARY-RESIDENCE,house_number,35,W,113330641
37,2510,2015-11-15,2015,4,November,33,4,11,ROBBERY-PEDESTRIAN,house_number,13,T,153192027
38,1517,2013-02-25,2013,1,February,4,1,2,AUTO THEFT,house_number,4,J,130560308
39,1040,2011-11-06,2011,4,November,34,3,1,LARCENY-NON VEHICLE,house_number,36,Y,113100808
40,2472,2015-10-08,2015,4,October,35,3,6,BURGLARY-NONRES,house_number,37,Z,152811408
41,2167,2014-12-07,2014,4,December,15,6,12,LARCENY-FROM VEHICLE,road,15,O,143412174
42,130,2009-05-10,2009,2,May,26,1,3,BURGLARY-RESIDENCE,house_number,28,T,91300001
42,421,2010-02-25,2010,1,February,26,1,4,LARCENY-FROM VEHICLE,house_number,28,T,100562247
43,30,2009-01-30,2009,1,January,56,5,15,LARCENY-NON VEHICLE,amenity,16,E,90301247
43,120,2009-04-30,2009,2,April,56,5,15,LARCENY-NON VEHICLE,amenity,16,E,91201095
43,281,2009-10-08,2009,4,October,56,5,4,LARCENY-FROM VEHICLE,house_number,16,E,92812464
43,456,2010-04-01,2010,2,April,36,5,7,LARCENY-FROM VEHICLE,amenity,16,E,100911691
43,1128,2012-02-02,2012,1,February,56,5,7,LARCENY-FROM VEHICLE,amenity,16,E,120331361
44,1652,2013-07-10,2013,3,July,37,4,4,LARCENY-FROM VEHICLE,house_number,38,I,131911081
45,1532,2013-03-12,2013,1,March,38,5,16,AUTO THEFT,shop,39,E,130710959
45,2399,2015-07-27,2015,3,July,38,5,22,LARCENY-FROM VEHICLE,shop,39,E,152082211
45,2687,2016-05-10,2016,2,May,38,5,13,AGG ASSAULT,shop,39,E,161291321
46,136,2009-05-16,2009,2,May,62,5,17,AUTO THEFT,road,16,E,91360075
46,168,2009-06-17,2009,2,June,60,5,4,LARCENY-FROM VEHICLE,house_number,33,M,91680454
46,382,2010-01-17,2010,1,January,16,5,5,LARCENY-FROM VEHICLE,building,16,E,100171672
46,410,2010-02-14,2010,1,February,16,5,7,LARCENY-FROM VEHICLE,amenity,16,E,100450751
46,655,2010-10-17,2010,4,October,16,5,4,LARCENY-FROM VEHICLE,house_number,16,E,102901846
46,733,2011-01-03,2011,1,January,36,5,2,AUTO THEFT,house_number,16,E,110031410
46,832,2011-04-12,2011,2,April,36,5,4,LARCENY-FROM VEHICLE,house_number,16,E,111022253
46,934,2011-07-23,2011,3,July,60,5,3,BURGLARY-RESIDENCE,house_number,33,M,112032143
46,1068,2011-12-04,2011,4,December,16,5,5,LARCENY-FROM VEHICLE,building,16,E,113381640
46,1260,2012-06-13,2012,2,June,16,5,34,LARCENY-FROM VEHICLE,tourism,16,E,121650748
46,1281,2012-07-04,2012,3,July,62,5,21,ROBBERY-PEDESTRIAN,road,16,E,121860456
46,1398,2012-10-29,2012,4,October,62,5,5,LARCENY-FROM VEHICLE,building,16,E,123032680
46,1742,2013-10-08,2013,4,October,62,5,1,LARCENY-NON VEHICLE,house_number,16,E,132812960
46,1966,2014-05-20,2014,2,May,62,5,6,BURGLARY-NONRES,house_number,16,E,141400718
46,2607,2016-02-20,2016,1,February,62,5,4,LARCENY-FROM VEHICLE,house_number,16,E,160512951
46,2724,2016-06-16,2016,2,June,62,5,4,LARCENY-FROM VEHICLE,house_number,16,E,161683279
46,2876,2016-11-15,2016,4,November,62,5,14,LARCENY-NON VEHICLE,building,16,E,163201407
47,2400,2015-07-28,2015,3,July,39,6,6,BURGLARY-NONRES,house_number,40,O,152090740
48,1800,2013-12-05,2013,4,December,6,6,4,LARCENY-FROM VEHICLE,house_number,6,F,133390698
49,1227,2012-05-11,2012,2,May,77,5,5,LARCENY-FROM VEHICLE,building,33,M,121320306
49,1839,2014-01-13,2014,1,January,58,4,23,AGG ASSAULT,building,33,M,140131236
49,2359,2015-06-17,2015,2,June,40,5,4,LARCENY-FROM VEHICLE,house_number,33,M,151681888
50,1779,2013-11-14,2013,4,November,41,2,4,LARCENY-FROM VEHICLE,house_number,41,E,133182256
